ID#age#job#marital#education#default#balance#housing#loan#contact#day#month#campaign#pdays#previous#poutcome#y
13773#38,0#technician#married#secondary#no#-475,0#yes#no#cellular#10#jul#1,0#-1,0#0#unknown#no
30115#42,0#technician#single#tertiary#no#3908,0#yes#no#telephone#4#feb#5,0#-1,0#0#unknown#no
11##admin.#divorced#secondary#no#270,0#yes#no#unknown#5#may#1,0#-1,0#0#unknown#no
9411#53,0#retired#married#primary#no#2010,0#no#yes#unknown#6#jun#1,0#-1,0#0#unknown#no
42097#57,0#management#married#tertiary#no#1832,0#yes#no#cellular#2#nov#2,0#-1,0#0#unknown#no
41763#31,0#admin.#married#tertiary#no#80,0#yes#yes#cellular#13#oct#1,0#-1,0#0#unknown#no
33120#34,0#admin.#married#secondary#no#-314,0#yes#yes#cellular#20#apr#3,0#307,0#3#other#no
15027#36,0#management#married#tertiary#no#-633,0#yes#no#cellular#17#jul#1,0#-1,0#0#unknown#no
23237##admin.#married#secondary#no#35,0#no#no#cellular#27#aug#4,0#-1,0#0#unknown#no
33563#33,0#services#divorced#secondary#no#2358,0#yes#no#cellular#20#apr#3,0#-1,0#0#unknown#no
27932#40,0#technician#married#secondary#no#529,0#no#yes#cellular#28#jan#1,0#-1,0#0#unknown#no
28251#34,0#management#married#tertiary#no#303,0#yes#no#cellular#29#jan#1,0#195,0#2#failure#no
9796#58,0#retired#married#secondary#no#630,0#no#no#unknown#9#jun#2,0#-1,0#0#unknown#no
9770#40,0#blue-collar#single#primary#no#397,0#no#no#unknown#9#jun#1,0#-1,0#0#unknown#no
17545#44,0#management#single#primary#no#4,0#no#no#cellular#29#jul#3,0#-1,0#0#unknown#no
42512#28,0#blue-collar#single#secondary#no#1705,0#no#no#cellular#17#dec#2,0#-1,0#0#unknown#yes
43420#50,0#unemployed#married#tertiary#no#377,0#no#no#cellular#6#apr#1,0#319,0#3#failure#no
33372#35,0#admin.#single#secondary#no#424,0#yes#no#cellular#20#apr#4,0#-1,0#0#unknown#no
33073#21,0#blue-collar#single#secondary#no#1385,0#yes#no#cellular#20#apr#5,0#-1,0#0#unknown#no
24165#26,0#management#married#tertiary#no#52,0#no#yes#telephone#12#nov#1,0#-1,0#0#unknown#no
103##blue-collar#married#primary#no#128,0#yes#no#unknown#5#may#1,0#-1,0#0#unknown#no
27464#32,0#self-employed#married#tertiary#no#14522,0#no#no#cellular#21#nov#7,0#-1,0#0#unknown#no
37740##management#divorced#tertiary#no#541,0#yes#no#cellular#14#may#1,0#363,0#2#other#no
33893#27,0#management#single#tertiary#no#828,0#no#no#cellular#30#apr#1,0#-1,0#0#unknown#no
20418##admin.#married#secondary#no#1535,0#no#no#cellular#12#aug#2,0#-1,0#0#unknown#no
24163#22,0#technician#single#secondary#no#333,0#no#yes#telephone#12#nov#1,0#-1,0#0#unknown#no
24234#50,0#management#married#tertiary#no#4278,0#no#no#cellular#17#nov#1,0#-1,0#0#unknown#no
63#57,0#blue-collar#married#primary#no#249,0#yes#no#unknown#5#may#1,0#-1,0#0#unknown#no
16039#55,0#technician#married#tertiary#no#255,0#no#no#cellular#22#jul#1,0#-1,0#0#unknown#no
27603#37,0#management#single#tertiary#no#22125,0#no#yes#cellular#21#nov#2,0#-1,0#0#unknown#yes
37379#55,0#management#married#primary#no#1691,0#yes#no#cellular#13#may#2,0#174,0#1#failure#no
16085#26,0#student#single#secondary#no#141,0#no#no#cellular#22#jul#1,0#-1,0#0#unknown#no
18516##blue-collar#married#primary#no#0,0#no#no#cellular#31#jul#4,0#-1,0#0#unknown#no
25858#53,0#management#married#tertiary#no#7249,0#yes#yes#cellular#19#nov#1,0#-1,0#0#unknown#no
26588#30,0#services#married#secondary#no#10667,0#no#no#cellular#20#nov#1,0#-1,0#0#unknown#no
32448#66,0#retired#married#tertiary#no#525,0#no#no#telephone#16#apr#1,0#-1,0#0#unknown#no
17808#35,0#management#married#tertiary#no#0,0#yes#no#telephone#29#jul#12,0#-1,0#0#unknown#no
41443#51,0#housemaid#married#primary#no#339,0#no#no#cellular#4#sep#1,0#-1,0#0#unknown#no
43397#46,0#management#married#unknown#no#2466,0#no#no#telephone#1#apr#3,0#370,0#1#failure#yes
10528#41,0#management#single#unknown#no#1604,0#no#no#unknown#16#jun#2,0#-1,0#0#unknown#no
32662#53,0#services#married#secondary#no#197,0#yes#no#cellular#17#apr#1,0#-1,0#0#unknown#no
40737#18,0#student#single#primary#no#1944,0#no#no#telephone#10#aug#3,0#-1,0#0#unknown#no
27205#35,0#entrepreneur#married#secondary#no#2971,0#no#no#cellular#21#nov#2,0#-1,0#0#unknown#no
28468#28,0#technician#single#secondary#no#250,0#no#yes#cellular#29#jan#1,0#-1,0#0#unknown#no
42256#39,0#student#single#unknown#no#64,0#no#no#cellular#12#nov#2,0#98,0#1#failure#no
38338##blue-collar#married#secondary#no#83,0#yes#no#cellular#15#may#1,0#-1,0#0#unknown#no
26137#41,0#technician#single#tertiary#no#0,0#yes#no#cellular#19#nov#6,0#-1,0#0#unknown#no
37025##blue-collar#married#secondary#no#944,0#no#no#cellular#13#may#2,0#362,0#1#other#no
5126#31,0#management#married#tertiary#no#4924,0#yes#no#unknown#21#may#2,0#-1,0#0#unknown#no
34459#40,0#management#married#tertiary#no#710,0#yes#no#cellular#5#may#1,0#298,0#2#failure#no
28108#55,0#unemployed#married#secondary#no#1161,0#yes#no#cellular#28#jan#2,0#-1,0#0#unknown#no
6691#33,0#blue-collar#single#secondary#no#855,0#no#no#unknown#28#may#5,0#-1,0#0#unknown#no
3618#32,0#admin.#single#secondary#no#289,0#no#no#unknown#15#may#12,0#-1,0#0#unknown#no
20916#44,0#management#divorced#tertiary#no#3321,0#no#no#cellular#13#aug#3,0#-1,0#0#unknown#no
35125#31,0#management#married#tertiary#no#-692,0#yes#yes#cellular#6#may#2,0#-1,0#0#unknown#no
33058#59,0#management#married#tertiary#no#82,0#yes#no#cellular#17#apr#4,0#-1,0#0#unknown#no
36830##blue-collar#married#secondary#no#802,0#yes#yes#cellular#12#may#2,0#-1,0#0#unknown#yes
7669#42,0#unemployed#divorced#secondary#no#1713,0#yes#no#unknown#30#may#2,0#-1,0#0#unknown#yes
42573#44,0#management#married#unknown#no#2724,0#no#no#cellular#28#dec#1,0#-1,0#0#unknown#yes
13232#28,0#management#single#tertiary#no#882,0#no#yes#cellular#8#jul#2,0#-1,0#0#unknown#no
6718#28,0#services#single#secondary#no#40,0#yes#no#unknown#28#may#2,0#-1,0#0#unknown#no
32416#36,0#technician#married#primary#no#3350,0#yes#no#cellular#16#apr#1,0#269,0#3#other#no
14604#53,0#retired#married#secondary#no#1278,0#yes#no#telephone#15#jul#3,0#-1,0#0#unknown#no
35093#38,0#management#single#tertiary#no#427,0#yes#no#cellular#6#may#3,0#169,0#2#failure#no
17773#34,0#blue-collar#single#primary#no#326,0#yes#no#cellular#29#jul#2,0#-1,0#0#unknown#no
30576#33,0#admin.#divorced#secondary#no#420,0#yes#no#telephone#6#feb#2,0#-1,0#0#unknown#no
34956#29,0#technician#single#tertiary#no#183,0#yes#yes#cellular#6#may#1,0#343,0#2#failure#no
8465#35,0#blue-collar#married#secondary#no#412,0#yes#no#unknown#3#jun#1,0#-1,0#0#unknown#no
1311#36,0#blue-collar#married#primary#no#250,0#yes#no#unknown#8#may#1,0#-1,0#0#unknown#no
6115#36,0#services#single#secondary#no#203,0#yes#no#unknown#27#may#5,0#-1,0#0#unknown#no
30643#59,0#retired#married#primary#no#3000,0#no#yes#cellular#6#feb#1,0#-1,0#0#unknown#no
42115#35,0#technician#married#secondary#no#580,0#yes#no#cellular#2#nov#2,0#171,0#1#failure#no
24800#47,0#unemployed#single#secondary#no#4819,0#no#no#cellular#18#nov#1,0#-1,0#0#unknown#no
27109#51,0#blue-collar#married#secondary#no#8486,0#yes#yes#cellular#21#nov#10,0#-1,0#0#unknown#no
8875#44,0#blue-collar#married#secondary#no#406,0#yes#no#unknown#4#jun#1,0#-1,0#0#unknown#no
24111#36,0#entrepreneur#married#tertiary#no#6,0#no#no#telephone#30#oct#1,0#-1,0#0#unknown#no
8089#30,0#blue-collar#married#primary#no#4,0#yes#no#unknown#2#jun#1,0#-1,0#0#unknown#no
20356#47,0#retired#married#secondary#no#-71,0#yes#no#cellular#11#aug#5,0#-1,0#0#unknown#no
14282##management#divorced#tertiary#no#481,0#yes#no#telephone#14#jul#3,0#-1,0#0#unknown#no
5233#32,0#technician#married#secondary#no#587,0#yes#no#unknown#23#may#1,0#-1,0#0#unknown#no
8383#33,0#services#married#secondary#no#34,0#yes#yes#unknown#3#jun#1,0#-1,0#0#unknown#no
32868#30,0#blue-collar#married#secondary#no#658,0#yes#no#cellular#17#apr#3,0#267,0#1#failure#no
18551#53,0#blue-collar#married#secondary#no#0,0#no#no#telephone#31#jul#4,0#-1,0#0#unknown#no
18649#44,0#blue-collar#divorced#secondary#no#3258,0#no#no#cellular#31#jul#6,0#-1,0#0#unknown#no
21633#31,0#management#single#tertiary#no#0,0#no#no#cellular#19#aug#4,0#-1,0#0#unknown#no
19254#60,0#retired#married#secondary#no#1145,0#no#no#cellular#6#aug#2,0#-1,0#0#unknown#no
6147#37,0#services#married#secondary#no#-24,0#yes#no#unknown#27#may#1,0#-1,0#0#unknown#no
37140#35,0#blue-collar#married#secondary#no#323,0#yes#no#cellular#13#may#1,0#-1,0#0#unknown#no
26674#33,0#blue-collar#single#unknown#no#129,0#yes#yes#cellular#20#nov#1,0#-1,0#0#unknown#no
35775#33,0#blue-collar#single#secondary#no#1925,0#yes#no#cellular#8#may#2,0#67,0#2#failure#no
34632#33,0#technician#divorced#secondary#no#1480,0#yes#no#cellular#5#may#1,0#-1,0#0#unknown#no
41341#39,0#blue-collar#single#primary#no#24277,0#no#no#cellular#28#aug#1,0#-1,0#0#unknown#yes
38845#22,0#services#single#secondary#no#344,0#yes#no#cellular#18#may#1,0#-1,0#0#unknown#yes
14274#40,0#services#married#secondary#no#900,0#yes#yes#cellular#14#jul#2,0#-1,0#0#unknown#no
11674#28,0#blue-collar#married#primary#no#103,0#yes#no#unknown#20#jun#28,0#-1,0#0#unknown#no
33423#34,0#management#married#tertiary#no#606,0#no#no#cellular#20#apr#1,0#-1,0#0#unknown#yes
33651##blue-collar#married#secondary#no#1384,0#yes#no#cellular#20#apr#4,0#340,0#4#success#no
41329#34,0#technician#single#tertiary#no#612,0#no#no#cellular#28#aug#1,0#95,0#1#failure#no
35713#35,0#blue-collar#married#secondary#no#156,0#yes#no#cellular#8#may#1,0#283,0#3#failure#no
6003#46,0#management#divorced#tertiary#no#25,0#no#no#unknown#26#may#2,0#-1,0#0#unknown#no
12956#30,0#technician#married#tertiary#no#101,0#yes#yes#cellular#7#jul#3,0#-1,0#0#unknown#no
8765#28,0#admin.#single#tertiary#no#4,0#no#no#unknown#4#jun#11,0#-1,0#0#unknown#no
35301#31,0#technician#single#secondary#no#77,0#yes#no#cellular#7#may#1,0#-1,0#0#unknown#no
5802##blue-collar#married#secondary#no#-110,0#yes#no#unknown#26#may#1,0#-1,0#0#unknown#no
5812#28,0#technician#married#secondary#no#930,0#yes#yes#unknown#26#may#1,0#-1,0#0#unknown#no
3253#49,0#admin.#married#secondary#no#1530,0#yes#no#unknown#15#may#1,0#-1,0#0#unknown#no
2392#36,0#admin.#married#secondary#no#-423,0#yes#yes#unknown#13#may#1,0#-1,0#0#unknown#no
23943##technician#married#secondary#no#4800,0#yes#no#cellular#29#aug#4,0#-1,0#0#unknown#no
5056#30,0#technician#single#tertiary#no#1289,0#yes#no#unknown#21#may#2,0#-1,0#0#unknown#yes
33454#35,0#technician#married#tertiary#no#703,0#no#no#cellular#20#apr#1,0#-1,0#0#unknown#no
32918#37,0#blue-collar#divorced#secondary#no#752,0#yes#no#cellular#17#apr#3,0#-1,0#0#unknown#no
39841#47,0#management#married#tertiary#no#2351,0#no#no#cellular#2#jun#2,0#84,0#1#success#yes
23276#34,0#technician#single#tertiary#no#-552,0#yes#no#cellular#27#aug#12,0#-1,0#0#unknown#no
38345#35,0#admin.#single#tertiary#no#1374,0#yes#no#cellular#15#may#1,0#-1,0#0#unknown#no
19930##retired#married#tertiary#no#815,0#no#no#cellular#8#aug#2,0#-1,0#0#unknown#no
7106#31,0#services#married#secondary#no#3181,0#yes#no#unknown#29#may#7,0#-1,0#0#unknown#no
19908####primary#no###no#cellular#8#aug###0#unknown#no
43553#26,0#unemployed#single#tertiary#no#77,0#no#no#cellular#26#apr#1,0#-1,0#0#unknown#yes
21809#51,0#technician#married#secondary#no#180,0#yes#no#cellular#20#aug#2,0#-1,0#0#unknown#no
11362##blue-collar#married#primary#no#10662,0#no#no#unknown#19#jun#1,0#-1,0#0#unknown#no
11687#57,0#entrepreneur#married#tertiary#no#0,0#yes#yes#unknown#20#jun#2,0#-1,0#0#unknown#no
24392#48,0#blue-collar#married#secondary#no#1039,0#yes#no#cellular#17#nov#1,0#-1,0#0#unknown#no
29245##services#divorced#secondary#no#840,0#yes#no#cellular#2#feb#1,0#-1,0#0#unknown#yes
15139#35,0#management#single#secondary#no#138,0#yes#yes#cellular#17#jul#1,0#-1,0#0#unknown#no
2743#57,0#services#single#secondary#no#2236,0#yes#no#unknown#14#may#2,0#-1,0#0#unknown#no
20308#53,0#management#divorced#secondary#no#112,0#no#yes#cellular#11#aug#3,0#-1,0#0#unknown#no
37741#46,0#blue-collar#married#secondary#no#431,0#yes#no#cellular#14#may#4,0#367,0#1#failure#no
25856##management#divorced#tertiary#no#26306,0#yes#no#cellular#19#nov#3,0#-1,0#0#unknown#no
15899#51,0#services#single#secondary#no#510,0#no#no#telephone#22#jul#4,0#-1,0#0#unknown#no
24631#40,0#management#married#tertiary#no#486,0#yes#yes#cellular#17#nov#2,0#-1,0#0#unknown#no
40166#35,0#management#married#tertiary#no#697,0#no#no#cellular#5#jun#2,0#304,0#1#failure#no
22046#40,0#technician#single#secondary#no#34,0#no#no#cellular#20#aug#3,0#-1,0#0#unknown#no
7722#44,0#admin.#married#secondary#no#734,0#yes#no#unknown#30#may#5,0#-1,0#0#unknown#no
24431#37,0#technician#married#secondary#no#344,0#yes#yes#cellular#17#nov#1,0#-1,0#0#unknown#no
43255#34,0#management#married#tertiary#no#158,0#no#no#cellular#9#mar#3,0#181,0#6#success#yes
14112#33,0#self-employed#married#tertiary#no#1249,0#yes#no#cellular#11#jul#2,0#-1,0#0#unknown#no
36912#43,0#blue-collar#married#unknown#no#245,0#yes#yes#cellular#12#may#4,0#369,0#2#other#no
13813#35,0#admin.#married#secondary#no#-428,0#yes#yes#cellular#10#jul#1,0#-1,0#0#unknown#no
8343#52,0#technician#married#secondary#no#930,0#yes#no#unknown#2#jun#16,0#-1,0#0#unknown#no
2175#35,0#management#single#tertiary#no#244,0#yes#no#unknown#12#may#1,0#-1,0#0#unknown#no
11051#35,0#blue-collar#married#secondary#no#331,0#yes#no#unknown#17#jun#3,0#-1,0#0#unknown#no
15794#59,0#management#married#secondary#no#966,0#no#no#telephone#21#jul#4,0#-1,0#0#unknown#no
7153#34,0#technician#divorced#tertiary#no#1242,0#yes#no#unknown#29#may#3,0#-1,0#0#unknown#no
13679##entrepreneur#married#unknown#no#73,0#yes#no#cellular#9#jul#1,0#-1,0#0#unknown#no
790#59,0#retired#married#secondary#no#836,0#yes#no#unknown#7#may#1,0#-1,0#0#unknown#no
44822#67,0#retired#married#secondary#no#2048,0#no#no#cellular#16#sep#5,0#195,0#4#other#yes
36179#48,0#services#divorced#secondary#no#457,0#yes#no#cellular#11#may#1,0#326,0#5#other#no
3894#41,0#management#divorced#tertiary#no#647,0#yes#no#unknown#16#may#1,0#-1,0#0#unknown#no
39125#31,0#services#single#unknown#no#919,0#yes#no#cellular#18#may#2,0#-1,0#0#unknown#no
24942#34,0#admin.#single#secondary#no#10,0#no#yes#cellular#18#nov#1,0#173,0#3#failure#no
18951#32,0#technician#married#secondary#no#12,0#yes#yes#cellular#4#aug#2,0#-1,0#0#unknown#no
3042#47,0#services#married#secondary#no#1549,0#yes#no#unknown#14#may#6,0#-1,0#0#unknown#no
25248#36,0#management#married#tertiary#no#549,0#yes#no#cellular#18#nov#2,0#-1,0#0#unknown#no
3181#32,0#management#single#tertiary#no#0,0#yes#no#unknown#15#may#4,0#-1,0#0#unknown#no
9506#41,0#admin.#divorced#secondary#no#762,0#yes#no#unknown#6#jun#4,0#-1,0#0#unknown#no
24715#50,0#technician#married#secondary#no#0,0#yes#no#cellular#17#nov#4,0#168,0#2#failure#no
21673#45,0#blue-collar#married#primary#no#0,0#no#no#cellular#19#aug#2,0#-1,0#0#unknown#no
7171#26,0#admin.#single#tertiary#no#3672,0#yes#no#unknown#29#may#5,0#-1,0#0#unknown#no
6726#26,0#technician#married#secondary#no#876,0#yes#no#unknown#28#may#1,0#-1,0#0#unknown#no
22449#32,0#self-employed#married#tertiary#no#3601,0#no#no#cellular#22#aug#15,0#-1,0#0#unknown#no
42290#34,0#management#married#tertiary#no#2599,0#no#no#cellular#16#nov#1,0#200,0#2#success#no
15028#32,0#management#married#tertiary#no#958,0#yes#no#telephone#17#jul#1,0#-1,0#0#unknown#no
8473#36,0#blue-collar#married#secondary#no#16402,0#yes#no#unknown#3#jun#3,0#-1,0#0#unknown#no
12127#44,0#admin.#married#secondary#no#961,0#no#no#unknown#20#jun#2,0#-1,0#0#unknown#no
23862#33,0#management#married#tertiary#no#310,0#no#no#cellular#29#aug#2,0#-1,0#0#unknown#no
965#46,0#blue-collar#married#primary#no#143,0#yes#no#unknown#7#may#1,0#-1,0#0#unknown#no
35910#37,0#management#single#tertiary#no#4543,0#yes#no#cellular#8#may#1,0#340,0#5#failure#no
4961#41,0#management#single#tertiary#no#1216,0#yes#no#unknown#21#may#3,0#-1,0#0#unknown#no
24267#43,0#technician#married#secondary#no#1865,0#yes#no#cellular#17#nov#1,0#186,0#1#failure#no
25679#35,0#self-employed#single#tertiary#no#538,0#yes#yes#cellular#19#nov#1,0#195,0#9#failure#no
27824#34,0#unknown#single#secondary#no#859,0#no#no#cellular#28#jan#1,0#-1,0#0#unknown#yes
32134#36,0#self-employed#married#tertiary#no#11387,0#no#no#cellular#15#apr#1,0#-1,0#0#unknown#no
5543#44,0#management#divorced#tertiary#no#5773,0#no#no#unknown#23#may#6,0#-1,0#0#unknown#yes
